metric,value
classical_gmm_test_auc,0.8049277108433734
deep_efficientnet_test_auc,0.8581084337349397
deep_brier_score_test,0.07464833079930484
deep_ece_test_calibrated,0.01554122952123483
deep_ece_test_raw,0.03737469238819935
deep_ece_cal_split,0.013751574449125567
classical_ece_test,0.012407769487286092
classical_ece_test_raw,0.14304363525904762
platt_a,1.0816171169281006
platt_b,-0.3855232894420624
mc_passes,30
fine_tune_backbone,True
primary_cost_fn_fp,10:1
primary_cost_threshold,0.09090909090909091
